Timestamp,Temperature_C,Humidity_Percent,IT_Load_kW,Total_Power_kW,Cooling_Power_kW,PUE
2026-09-02 11:00:00,27.7,55.89,139.42,190.95,39.19,1.37
2026-09-02 12:00:00,21.66,45.2,99.4,134.46,27.97,1.353
2026-09-02 13:00:00,19.17,56.74,105.71,134.66,23.37,1.274
2026-09-02 14:00:00,26.21,36.96,118.3,167.39,38.56,1.415
2026-09-02 15:00:00,23.28,44.46,122.66,168.42,34.81,1.373
2026-09-02 16:00:00,19.46,51.18,224.6,269.8,31.47,1.201
2026-09-02 17:00:00,23.94,58.72,175.41,222.26,36.09,1.267
2026-09-02 18:00:00,18.41,44.56,168.98,203.58,26.14,1.205
2026-09-02 19:00:00,28.91,53.78,99.51,150.57,38.03,1.513
2026-09-02 20:00:00,21.11,61.58,226.22,274.22,37.59,1.212
2026-09-02 21:00:00,25.95,53.48,202.88,248.93,40.26,1.227
2026-09-02 22:00:00,21.74,41.99,91.5,128.25,26.09,1.402
2026-09-02 23:00:00,24.24,35.73,200.33,252.79,38.38,1.262
2026-09-03 00:00:00,24.56,61.1,172.4,220.41,39.05,1.278
2026-09-03 01:00:00,20.22,35.64,93.89,127.83,25.98,1.361
2026-09-03 02:00:00,29.64,61.24,157.91,207.99,43.64,1.317
2026-09-03 03:00:00,27.3,50.87,162.4,211.21,42.3,1.301
2026-09-03 04:00:00,29.27,63.17,108.18,156.98,39.47,1.451
2026-09-03 05:00:00,28.74,58.96,240.77,301.55,49.83,1.252
2026-09-03 06:00:00,25.17,64.94,224.5,277.37,47.07,1.236
2026-09-03 07:00:00,29.06,45.52,193.73,257.9,49.77,1.331
2026-09-03 08:00:00,19.06,58.02,158.59,197.82,26.68,1.247
2026-09-03 09:00:00,20.35,47.06,150.0,193.05,32.19,1.287
2026-09-03 10:00:00,18.54,49.4,190.67,236.64,32.69,1.241
2026-09-03 11:00:00,21.9,53.83,172.72,210.9,32.38,1.221
2026-09-03 12:00:00,22.66,61.21,90.59,131.24,30.88,1.449
2026-09-03 13:00:00,21.26,64.52,167.13,214.76,36.33,1.285
2026-09-03 14:00:00,27.94,58.05,217.09,275.41,45.04,1.269
2026-09-03 15:00:00,22.28,47.53,158.07,203.14,32.23,1.285
2026-09-03 16:00:00,21.37,47.64,88.83,125.8,29.2,1.416
2026-09-03 17:00:00,24.51,57.13,213.67,270.48,42.4,1.266
2026-09-03 18:00:00,19.69,42.16,114.23,148.25,27.78,1.298
2026-09-03 19:00:00,27.63,38.31,123.97,177.75,40.04,1.434
2026-09-03 20:00:00,18.89,45.64,108.0,148.47,25.76,1.375
2026-09-03 21:00:00,29.84,43.62,136.14,183.91,41.0,1.351
2026-09-03 22:00:00,27.27,43.89,208.65,268.56,47.69,1.287
2026-09-03 23:00:00,20.38,42.01,168.3,208.08,34.38,1.236
2026-09-04 00:00:00,18.07,36.26,114.83,147.71,23.83,1.286
2026-09-04 01:00:00,27.79,35.54,229.23,287.32,47.93,1.253
2026-09-04 02:00:00,26.48,64.63,229.53,283.36,43.02,1.235
2026-09-04 03:00:00,26.75,47.83,228.0,289.75,47.39,1.271
2026-09-04 04:00:00,27.26,46.53,120.6,171.99,39.67,1.426
2026-09-04 05:00:00,18.89,55.39,156.71,195.27,28.75,1.246
2026-09-04 06:00:00,22.3,41.55,247.45,304.04,43.5,1.229
2026-09-04 07:00:00,19.39,63.5,211.24,259.06,33.32,1.226
2026-09-04 08:00:00,28.36,58.59,84.62,128.27,38.43,1.516
2026-09-04 09:00:00,25.48,37.68,91.08,137.38,31.47,1.508
2026-09-04 10:00:00,21.97,47.53,158.87,198.35,33.62,1.249
2026-09-04 11:00:00,18.76,61.37,234.57,282.27,34.56,1.203
2026-09-04 12:00:00,21.73,63.34,171.58,214.16,34.77,1.248
2026-09-04 13:00:00,21.9,49.02,164.63,204.23,33.28,1.241
2026-09-04 14:00:00,26.76,53.4,97.93,143.03,35.7,1.461
2026-09-04 15:00:00,25.65,40.01,191.65,246.55,43.46,1.286
2026-09-04 16:00:00,28.65,64.74,219.76,276.24,47.68,1.257
2026-09-04 17:00:00,23.67,41.95,144.67,182.08,31.86,1.259
2026-09-04 18:00:00,19.44,63.28,211.85,260.45,37.6,1.229
2026-09-04 19:00:00,26.56,54.49,243.96,308.1,50.12,1.263
2026-09-04 20:00:00,27.13,53.23,114.64,158.75,35.28,1.385
2026-09-04 21:00:00,24.74,50.38,168.97,216.13,40.0,1.279
2026-09-04 22:00:00,27.25,41.92,128.81,176.42,38.18,1.37
2026-09-04 23:00:00,23.93,40.3,214.79,261.87,41.6,1.219
2026-09-05 00:00:00,24.27,41.61,178.19,230.65,39.25,1.294
2026-09-05 01:00:00,23.13,40.59,187.88,238.4,37.26,1.269
2026-09-05 02:00:00,18.31,58.39,215.65,257.67,31.14,1.195
2026-09-05 03:00:00,19.29,45.5,147.31,183.19,27.35,1.244
2026-09-05 04:00:00,18.38,36.74,235.57,281.14,32.58,1.193
2026-09-05 05:00:00,25.64,64.07,170.61,219.6,38.44,1.287
2026-09-05 06:00:00,21.77,61.51,106.85,149.18,29.07,1.396
2026-09-05 07:00:00,24.1,62.83,198.3,248.2,38.59,1.252
2026-09-05 08:00:00,28.89,64.85,214.85,277.59,49.89,1.292
2026-09-05 09:00:00,20.99,40.22,133.85,178.0,33.17,1.33
2026-09-05 10:00:00,22.92,46.89,225.72,274.15,39.28,1.215
2026-09-05 11:00:00,27.07,57.75,234.04,296.43,47.8,1.267
2026-09-05 12:00:00,20.75,55.88,127.07,167.77,30.28,1.32
2026-09-05 13:00:00,18.92,39.62,247.2,295.36,37.11,1.195
2026-09-05 14:00:00,21.48,59.47,103.92,139.81,28.68,1.345
2026-09-05 15:00:00,19.93,41.73,114.34,154.13,28.53,1.348
2026-09-05 16:00:00,29.16,41.71,111.32,163.64,41.6,1.47
2026-09-05 17:00:00,27.7,51.11,231.98,284.46,45.63,1.226
2026-09-05 18:00:00,25.6,52.79,191.23,240.26,43.44,1.256
2026-09-05 19:00:00,28.46,52.4,105.86,157.83,40.93,1.491
2026-09-05 20:00:00,27.64,37.74,154.85,207.82,40.33,1.342
2026-09-05 21:00:00,20.24,61.32,184.6,228.04,33.2,1.235
2026-09-05 22:00:00,28.71,42.97,94.19,141.42,39.97,1.501
2026-09-05 23:00:00,24.47,38.89,230.01,284.37,42.69,1.236
2026-09-06 00:00:00,27.69,61.66,216.61,271.42,49.01,1.253
2026-09-06 01:00:00,28.75,63.67,165.89,224.43,49.13,1.353
2026-09-06 02:00:00,21.82,60.86,244.41,289.75,38.71,1.186
2026-09-06 03:00:00,19.32,59.29,151.02,184.16,26.3,1.219
2026-09-06 04:00:00,20.74,54.66,247.3,293.82,39.49,1.188
2026-09-06 05:00:00,23.13,51.53,193.55,242.03,39.61,1.25
2026-09-06 06:00:00,27.82,37.61,187.89,237.7,44.29,1.265
2026-09-06 07:00:00,28.33,47.25,108.21,159.25,42.06,1.472
2026-09-06 08:00:00,18.08,46.18,229.93,270.89,30.84,1.178
2026-09-06 09:00:00,24.13,42.79,152.67,200.3,37.79,1.312
2026-09-06 10:00:00,23.01,56.7,107.58,146.32,29.91,1.36
2026-09-06 11:00:00,20.67,49.88,82.14,124.54,29.01,1.516
2026-09-06 12:00:00,19.44,37.43,175.16,216.77,35.16,1.238
2026-09-06 13:00:00,22.05,41.61,169.66,212.83,33.12,1.254
2026-09-06 14:00:00,29.31,55.5,202.29,254.97,47.06,1.26
2026-09-06 15:00:00,21.88,37.28,231.34,278.1,41.04,1.202
2026-09-06 16:00:00,24.23,60.54,93.5,135.28,31.04,1.447
2026-09-06 17:00:00,26.44,49.85,204.35,258.93,43.91,1.267
2026-09-06 18:00:00,22.36,49.42,111.86,156.19,30.54,1.396
2026-09-06 19:00:00,29.66,52.77,225.89,283.19,46.72,1.254
2026-09-06 20:00:00,29.55,59.74,219.24,283.67,49.84,1.294
2026-09-06 21:00:00,21.02,45.43,171.93,209.33,31.91,1.217
2026-09-06 22:00:00,23.97,55.34,200.74,245.74,39.02,1.224
2026-09-06 23:00:00,21.61,51.97,133.44,172.86,33.98,1.295
2026-09-07 00:00:00,21.42,43.01,160.1,197.37,30.42,1.233
2026-09-07 01:00:00,18.44,61.36,219.68,264.96,34.86,1.206
2026-09-07 02:00:00,25.31,58.92,158.08,207.59,38.06,1.313
2026-09-07 03:00:00,24.03,54.75,140.83,181.04,34.75,1.286
2026-09-07 04:00:00,18.62,60.52,164.02,209.1,30.63,1.275
2026-09-07 05:00:00,21.34,61.02,220.8,272.58,38.36,1.235
2026-09-07 06:00:00,28.9,56.25,136.99,188.4,43.45,1.375
2026-09-07 07:00:00,20.87,60.11,109.54,145.32,30.01,1.327
2026-09-07 08:00:00,19.74,55.92,201.04,240.77,33.03,1.198
2026-09-07 09:00:00,23.87,55.4,220.42,266.9,40.22,1.211
2026-09-07 10:00:00,29.83,53.56,97.11,141.68,38.34,1.459
2026-09-07 11:00:00,20.9,57.58,120.78,158.33,27.37,1.311
2026-09-07 12:00:00,26.07,39.76,104.14,152.92,41.33,1.468
2026-09-07 13:00:00,27.14,61.43,139.15,190.06,42.33,1.366
2026-09-07 14:00:00,20.85,61.16,156.56,200.55,29.1,1.281
2026-09-07 15:00:00,26.74,35.88,207.3,261.19,42.05,1.26
2026-09-07 16:00:00,22.41,59.77,190.7,243.02,37.84,1.274
2026-09-07 17:00:00,25.59,38.87,185.56,234.3,42.32,1.263
2026-09-07 18:00:00,25.6,45.05,139.9,187.42,38.69,1.34
2026-09-07 19:00:00,24.43,57.31,223.05,275.57,41.98,1.235
2026-09-07 20:00:00,19.08,39.82,160.12,195.07,29.18,1.218
2026-09-07 21:00:00,28.02,59.54,246.45,301.9,50.41,1.225
2026-09-07 22:00:00,21.85,59.96,187.8,235.48,35.97,1.254
2026-09-07 23:00:00,20.24,50.22,101.47,134.92,22.04,1.33
2026-09-08 00:00:00,18.49,35.19,194.95,234.93,30.87,1.205
2026-09-08 01:00:00,25.09,43.61,135.27,179.92,34.75,1.33
2026-09-08 02:00:00,26.13,53.51,196.68,249.11,43.28,1.267
2026-09-08 03:00:00,18.2,64.44,91.84,125.7,28.62,1.369
2026-09-08 04:00:00,24.15,53.95,109.73,151.81,33.73,1.384
2026-09-08 05:00:00,20.72,42.79,225.48,268.73,36.49,1.192
2026-09-08 06:00:00,25.74,54.02,118.62,162.55,37.95,1.37
2026-09-08 07:00:00,20.09,51.2,222.3,273.75,36.89,1.231
2026-09-08 08:00:00,26.29,58.4,127.48,176.95,38.48,1.388
2026-09-08 09:00:00,22.64,38.21,189.29,239.89,38.32,1.267
2026-09-08 10:00:00,29.24,57.83,198.01,257.97,51.81,1.303
2026-09-08 11:00:00,19.65,51.24,167.15,204.67,28.59,1.224
2026-09-08 12:00:00,22.09,63.89,131.9,171.91,32.64,1.303
2026-09-08 13:00:00,19.36,45.26,116.15,146.6,24.48,1.262
2026-09-08 14:00:00,29.1,53.98,85.64,132.04,39.61,1.542
2026-09-08 15:00:00,28.53,62.96,131.67,184.13,39.49,1.398
2026-09-08 16:00:00,21.1,38.08,191.04,236.9,34.09,1.24
2026-09-08 17:00:00,25.92,63.12,239.51,295.43,45.45,1.233
2026-09-08 18:00:00,27.81,55.64,228.1,287.77,49.91,1.262
2026-09-08 19:00:00,24.66,37.04,210.23,268.1,43.65,1.275
2026-09-08 20:00:00,24.36,44.03,214.04,258.93,39.17,1.21
2026-09-08 21:00:00,20.9,56.25,193.05,235.76,34.91,1.221
2026-09-08 22:00:00,19.12,37.02,124.25,157.94,25.2,1.271
2026-09-08 23:00:00,28.77,52.47,234.22,294.42,47.37,1.257
2026-09-09 00:00:00,28.81,45.38,194.02,255.25,46.3,1.316
2026-09-09 01:00:00,25.6,53.63,175.27,222.48,39.8,1.269
2026-09-09 02:00:00,22.07,36.37,98.87,146.48,33.87,1.482
2026-09-09 03:00:00,22.19,61.15,156.0,203.94,34.63,1.307
2026-09-09 04:00:00,26.71,64.2,158.26,203.48,37.97,1.286
2026-09-09 05:00:00,28.77,64.07,226.98,284.15,48.18,1.252
2026-09-09 06:00:00,28.65,57.49,172.93,228.87,46.84,1.323
2026-09-09 07:00:00,27.36,38.9,144.67,204.24,44.79,1.412
2026-09-09 08:00:00,25.7,57.75,246.06,295.93,43.07,1.203
2026-09-09 09:00:00,19.01,35.74,98.82,132.47,20.66,1.341
2026-09-09 10:00:00,19.94,35.66,151.83,193.97,33.8,1.278
2026-09-09 11:00:00,28.78,44.71,87.14,138.38,38.92,1.588
2026-09-09 12:00:00,25.28,49.66,205.78,255.63,40.64,1.242
2026-09-09 13:00:00,18.11,58.11,236.07,281.98,35.12,1.194
2026-09-09 14:00:00,19.22,55.5,127.61,162.7,21.76,1.275
2026-09-09 15:00:00,25.96,48.38,225.92,283.98,45.02,1.257
2026-09-09 16:00:00,18.06,43.21,129.68,169.46,26.12,1.307
2026-09-09 17:00:00,19.93,64.91,234.83,278.96,38.53,1.188
2026-09-09 18:00:00,24.58,47.79,208.17,259.6,39.5,1.247
2026-09-09 19:00:00,26.3,48.54,216.83,268.21,44.97,1.237
2026-09-09 20:00:00,25.82,39.91,83.06,123.75,31.53,1.49
2026-09-09 21:00:00,20.69,58.84,243.68,293.21,39.04,1.203
2026-09-09 22:00:00,26.55,55.81,203.53,254.87,42.31,1.252
2026-09-09 23:00:00,20.85,41.62,131.81,171.0,29.0,1.297
2026-09-10 00:00:00,21.9,37.47,221.0,272.51,36.55,1.233
2026-09-10 01:00:00,26.96,55.41,127.86,174.18,39.97,1.362
2026-09-10 02:00:00,25.8,54.64,228.37,286.8,46.68,1.256
2026-09-10 03:00:00,28.19,43.2,99.14,145.85,37.75,1.471
2026-09-10 04:00:00,25.89,63.53,199.63,248.84,42.88,1.247
2026-09-10 05:00:00,24.82,39.53,171.92,214.59,36.09,1.248
2026-09-10 06:00:00,19.12,47.97,96.41,134.7,23.8,1.397
2026-09-10 07:00:00,22.41,63.31,121.12,166.13,31.21,1.372
2026-09-10 08:00:00,21.18,47.59,82.11,127.76,31.58,1.556
2026-09-10 09:00:00,20.93,54.16,159.69,204.55,29.94,1.281
2026-09-10 10:00:00,29.68,46.93,131.22,184.24,45.94,1.404
2026-09-10 11:00:00,22.72,43.23,181.72,228.88,38.61,1.26
2026-09-10 12:00:00,28.7,64.52,130.53,184.28,42.06,1.412
2026-09-10 13:00:00,25.57,47.28,130.99,181.18,40.36,1.383
2026-09-10 14:00:00,27.54,61.82,206.34,262.08,46.56,1.27
2026-09-10 15:00:00,24.03,41.9,88.18,128.64,31.88,1.459
2026-09-10 16:00:00,24.92,41.39,233.49,288.39,43.96,1.235
2026-09-10 17:00:00,23.91,35.93,224.88,279.94,44.3,1.245
2026-09-10 18:00:00,20.34,54.55,193.53,236.33,36.19,1.221
2026-09-10 19:00:00,26.67,46.06,180.85,231.79,41.22,1.282
2026-09-10 20:00:00,21.37,60.93,231.69,278.18,35.95,1.201
2026-09-10 21:00:00,18.29,49.2,111.51,146.16,23.95,1.311
2026-09-10 22:00:00,25.75,64.05,93.42,133.02,32.49,1.424
2026-09-10 23:00:00,20.13,40.57,120.72,160.86,27.72,1.333
2026-09-11 00:00:00,29.29,61.06,215.08,271.94,51.61,1.264
2026-09-11 01:00:00,29.45,58.3,85.89,132.57,38.13,1.543
2026-09-11 02:00:00,28.98,58.13,179.08,237.59,45.71,1.327
2026-09-11 03:00:00,22.44,60.34,249.22,301.58,41.72,1.21
2026-09-11 04:00:00,18.19,57.83,225.47,268.09,35.01,1.189
2026-09-11 05:00:00,29.14,53.79,168.65,221.3,40.71,1.312
2026-09-11 06:00:00,23.14,38.94,90.82,130.25,28.76,1.434
2026-09-11 07:00:00,29.6,35.98,221.33,284.82,50.53,1.287
2026-09-11 08:00:00,29.56,62.63,181.83,243.47,49.29,1.339
2026-09-11 09:00:00,28.24,53.5,99.54,147.97,37.33,1.487
2026-09-11 10:00:00,21.53,58.9,95.96,130.06,24.22,1.355
2026-09-11 11:00:00,22.62,49.45,234.64,282.91,41.94,1.206
2026-09-11 12:00:00,28.21,38.52,193.76,245.93,44.55,1.269
2026-09-11 13:00:00,21.8,38.76,220.98,266.17,36.0,1.205
2026-09-11 14:00:00,20.03,55.57,229.43,275.58,35.16,1.201
2026-09-11 15:00:00,24.68,47.91,177.2,226.17,38.83,1.276
2026-09-11 16:00:00,29.23,41.02,167.97,219.93,44.08,1.309
2026-09-11 17:00:00,26.35,49.75,153.17,193.61,35.37,1.264
2026-09-11 18:00:00,24.84,36.93,133.88,181.61,37.77,1.356
2026-09-11 19:00:00,19.17,52.46,153.88,193.35,31.61,1.256
2026-09-11 20:00:00,25.38,43.07,211.56,268.2,44.3,1.268
2026-09-11 21:00:00,29.88,58.93,182.33,232.7,45.13,1.276
2026-09-11 22:00:00,19.68,44.31,231.73,278.23,35.66,1.201
2026-09-11 23:00:00,24.22,48.66,155.37,206.54,36.75,1.329
2026-09-12 00:00:00,28.53,35.35,183.21,236.6,46.65,1.291
2026-09-12 01:00:00,26.89,37.17,187.32,241.7,44.66,1.29
2026-09-12 02:00:00,26.36,46.77,180.59,227.03,40.53,1.257
2026-09-12 03:00:00,26.43,49.4,199.45,254.47,43.76,1.276
2026-09-12 04:00:00,22.31,53.0,120.36,162.88,32.01,1.353
2026-09-12 05:00:00,21.52,43.75,167.1,212.74,36.56,1.273
2026-09-12 06:00:00,27.71,55.85,97.72,146.73,38.79,1.502
2026-09-12 07:00:00,27.72,60.8,145.37,202.12,42.79,1.39
2026-09-12 08:00:00,28.4,58.4,162.9,213.67,43.81,1.312
2026-09-12 09:00:00,28.96,36.19,190.88,245.63,49.53,1.287
2026-09-12 10:00:00,24.14,49.42,241.59,299.56,44.35,1.24
2026-09-12 11:00:00,24.02,38.15,182.11,229.76,36.87,1.262
2026-09-12 12:00:00,27.58,42.26,206.41,269.01,48.69,1.303
2026-09-12 13:00:00,25.8,64.6,166.07,218.42,41.38,1.315
2026-09-12 14:00:00,26.42,39.27,187.8,242.67,41.77,1.292
2026-09-12 15:00:00,27.55,49.97,92.06,137.09,35.73,1.489
2026-09-12 16:00:00,28.68,53.54,123.25,177.22,41.47,1.438
2026-09-12 17:00:00,22.06,56.07,141.52,188.98,33.33,1.335
2026-09-12 18:00:00,22.51,51.79,160.32,206.03,34.98,1.285
2026-09-12 19:00:00,19.13,35.29,87.76,118.9,24.34,1.355
2026-09-12 20:00:00,24.94,44.79,103.8,148.61,37.11,1.432
2026-09-12 21:00:00,18.43,50.53,127.06,162.0,27.95,1.275
2026-09-12 22:00:00,23.59,37.64,245.16,296.0,43.37,1.207
2026-09-12 23:00:00,24.51,45.52,136.33,181.95,37.56,1.335
2026-09-13 00:00:00,21.44,36.0,161.95,203.55,31.05,1.257
2026-09-13 01:00:00,25.09,37.36,113.34,159.71,35.5,1.409
2026-09-13 02:00:00,18.37,46.91,183.83,226.97,33.87,1.235
2026-09-13 03:00:00,18.45,38.98,127.72,164.32,25.45,1.287
2026-09-13 04:00:00,27.87,52.03,115.19,158.33,37.33,1.375
2026-09-13 05:00:00,22.32,55.68,167.82,207.3,33.6,1.235
2026-09-13 06:00:00,19.52,59.02,80.94,109.24,21.58,1.35
2026-09-13 07:00:00,24.27,41.0,81.3,120.82,29.34,1.486
2026-09-13 08:00:00,27.24,40.02,117.24,161.88,37.5,1.381
2026-09-13 09:00:00,20.59,38.14,86.24,117.05,22.97,1.357
2026-09-13 10:00:00,25.47,54.09,98.36,141.48,34.11,1.438
2026-09-13 11:00:00,19.02,56.19,137.61,180.07,29.35,1.309
2026-09-13 12:00:00,18.62,35.95,216.44,253.01,31.43,1.169
2026-09-13 13:00:00,24.38,63.09,177.25,230.52,41.78,1.301
2026-09-13 14:00:00,24.49,36.56,167.15,217.97,39.13,1.304
2026-09-13 15:00:00,25.65,51.24,129.89,181.81,38.93,1.4
2026-09-13 16:00:00,26.71,56.27,238.4,298.55,45.83,1.252
2026-09-13 17:00:00,29.71,61.13,147.49,198.77,46.07,1.348
2026-09-13 18:00:00,24.2,56.42,94.81,131.04,29.69,1.382
2026-09-13 19:00:00,21.88,59.05,184.9,236.15,37.39,1.277
2026-09-13 20:00:00,27.54,45.18,99.35,146.54,37.61,1.475
2026-09-13 21:00:00,21.25,59.44,138.69,181.41,32.08,1.308
2026-09-13 22:00:00,23.27,37.4,166.26,211.74,33.85,1.274
2026-09-13 23:00:00,18.94,61.84,228.62,273.32,32.91,1.196
2026-09-14 00:00:00,18.3,51.43,163.9,207.98,29.76,1.269
2026-09-14 01:00:00,29.55,59.52,199.38,260.74,46.38,1.308
2026-09-14 02:00:00,28.03,48.57,248.78,311.86,50.88,1.254
2026-09-14 03:00:00,26.35,54.31,102.35,143.21,32.98,1.399
2026-09-14 04:00:00,22.91,50.79,126.7,174.7,34.19,1.379
2026-09-14 05:00:00,20.08,56.95,147.08,179.99,27.42,1.224
2026-09-14 06:00:00,19.88,37.45,151.71,190.08,31.06,1.253
2026-09-14 07:00:00,21.0,36.81,149.87,196.59,32.75,1.312
2026-09-14 08:00:00,24.59,42.41,234.29,284.09,42.24,1.213
2026-09-14 09:00:00,26.58,39.79,201.39,253.73,45.14,1.26
2026-09-14 10:00:00,25.92,61.15,183.34,231.8,42.07,1.264
2026-09-14 11:00:00,21.36,41.58,132.59,175.75,29.57,1.326
2026-09-14 12:00:00,29.46,64.28,220.04,277.82,47.77,1.263
2026-09-14 13:00:00,26.85,45.11,242.36,297.85,43.75,1.229
2026-09-14 14:00:00,24.65,40.46,219.6,270.24,43.25,1.231
2026-09-14 15:00:00,25.34,58.69,80.27,122.15,29.3,1.522
2026-09-14 16:00:00,23.04,54.76,188.19,238.59,37.8,1.268
2026-09-14 17:00:00,20.97,49.95,88.69,122.85,26.03,1.385
2026-09-14 18:00:00,22.27,51.66,123.79,165.57,32.67,1.337
2026-09-14 19:00:00,27.09,56.58,90.12,132.46,35.25,1.47
2026-09-14 20:00:00,18.17,41.85,182.65,226.62,29.21,1.241
2026-09-14 21:00:00,19.39,64.89,196.72,242.47,34.29,1.233
2026-09-14 22:00:00,18.55,64.24,99.46,138.26,24.46,1.39
2026-09-14 23:00:00,18.49,54.51,145.25,181.27,27.99,1.248
2026-09-15 00:00:00,28.27,40.99,157.56,214.32,43.94,1.36
2026-09-15 01:00:00,26.44,55.41,142.74,191.41,36.01,1.341
2026-09-15 02:00:00,23.69,37.17,100.57,145.59,33.09,1.448
2026-09-15 03:00:00,19.17,35.92,151.22,195.96,30.08,1.296
2026-09-15 04:00:00,23.9,42.73,207.7,255.07,38.43,1.228
2026-09-15 05:00:00,23.68,48.88,92.07,128.78,30.4,1.399
2026-09-15 06:00:00,20.08,61.05,93.63,130.88,25.53,1.398
2026-09-15 07:00:00,23.21,56.82,140.31,186.37,33.77,1.328
2026-09-15 08:00:00,22.78,57.28,240.09,292.89,42.05,1.22
2026-09-15 09:00:00,25.39,47.76,193.66,245.17,44.44,1.266
2026-09-15 10:00:00,25.62,45.38,195.37,249.64,44.23,1.278
2026-09-15 11:00:00,18.54,46.13,141.53,174.16,24.51,1.231
2026-09-15 12:00:00,22.5,64.63,180.92,227.66,37.46,1.258
2026-09-15 13:00:00,25.51,36.2,81.72,128.64,35.46,1.574
2026-09-15 14:00:00,24.04,61.01,188.14,240.47,39.88,1.278
2026-09-15 15:00:00,28.28,52.36,235.26,294.0,51.42,1.25
2026-09-15 16:00:00,25.9,48.16,184.14,238.8,45.61,1.297
2026-09-15 17:00:00,19.96,56.76,228.53,274.48,38.26,1.201
2026-09-15 18:00:00,18.85,49.6,203.08,243.08,33.01,1.197
2026-09-15 19:00:00,25.71,61.2,100.49,150.02,36.69,1.493
2026-09-15 20:00:00,18.32,62.02,233.42,281.95,34.44,1.208
2026-09-15 21:00:00,25.03,47.65,91.3,132.89,32.9,1.456
2026-09-15 22:00:00,29.28,43.3,170.77,228.17,44.88,1.336
2026-09-15 23:00:00,24.91,52.77,104.16,154.95,36.82,1.488
2026-09-16 00:00:00,22.66,62.37,81.99,122.36,26.91,1.492
2026-09-16 01:00:00,25.72,41.32,151.75,200.36,41.78,1.32
2026-09-16 02:00:00,23.5,53.69,130.16,179.38,34.66,1.378
2026-09-16 03:00:00,24.55,53.95,162.62,206.42,35.03,1.269
2026-09-16 04:00:00,29.3,56.99,178.12,233.45,46.93,1.311
2026-09-16 05:00:00,22.63,38.95,87.44,117.8,24.74,1.347
2026-09-16 06:00:00,29.53,56.47,100.91,152.4,41.63,1.51
2026-09-16 07:00:00,28.86,62.27,174.97,228.12,47.06,1.304
2026-09-16 08:00:00,20.35,40.39,138.34,174.23,28.41,1.259
2026-09-16 09:00:00,18.83,42.13,203.96,244.94,32.81,1.201
2026-09-16 10:00:00,19.21,64.14,190.89,239.97,35.99,1.257
2026-09-16 11:00:00,18.22,40.43,223.75,269.72,32.22,1.205
2026-09-16 12:00:00,19.13,60.63,197.72,236.15,30.4,1.194
2026-09-16 13:00:00,26.2,49.77,153.09,209.18,42.5,1.366
2026-09-16 14:00:00,18.85,42.42,194.4,243.74,35.76,1.254
