Timestamp,Temperature_C,Humidity_Percent,IT_Load_kW,Cooling_Power_kW,Total_Power_kW,PUE
2026-09-13 14:07:05,27.99,58.51,116.3,37.68,161.28,1.387
2026-09-13 14:08:05,23.77,47.23,171.31,40.2,218.6,1.276
2026-09-13 14:09:05,27.92,46.48,127.62,40.28,177.68,1.392
2026-09-13 14:39:46,22.75,50.5,202.56,36.22,250.8,1.238
2026-09-13 14:40:18,23.9,59.91,171.71,34.41,215.5,1.255
2026-09-13 14:40:48,20.13,53.46,123.98,26.27,162.69,1.312
2026-09-13 14:41:18,26.21,50.82,158.56,39.25,207.66,1.31
2026-09-13 14:41:48,23.51,53.23,178.89,37.66,230.34,1.288
2026-09-13 14:42:18,26.95,53.49,114.06,36.56,158.25,1.387
2026-09-13 14:42:48,22.16,56.57,164.04,36.14,209.08,1.275
2026-09-13 14:43:18,27.35,43.17,174.97,40.96,225.46,1.289
2026-09-13 14:44:05,22.43,55.11,106.51,29.62,141.31,1.327
2026-09-13 14:45:05,23.14,56.97,200.02,39.35,252.16,1.261
2026-09-13 14:46:05,24.94,58.78,140.78,37.64,187.78,1.334
2026-09-13 14:47:05,25.71,46.37,210.28,44.04,260.67,1.24
2026-09-13 14:48:20,26.64,40.64,162.89,38.89,209.64,1.287
2026-09-13 14:48:52,27.49,48.6,179.3,43.7,234.27,1.307
2026-09-13 14:49:22,26.12,58.75,195.68,40.03,249.03,1.273
2026-09-13 14:49:52,27.84,45.11,110.49,40.49,156.05,1.412
2026-09-13 14:50:22,27.43,44.21,188.24,44.38,247.29,1.314
2026-09-13 14:50:52,27.08,47.43,168.54,40.71,223.85,1.328
2026-09-13 14:51:21,20.76,58.04,201.02,37.46,246.28,1.225
2026-09-13 14:51:52,21.34,53.36,207.07,34.5,253.35,1.223
2026-09-13 14:52:22,25.82,45.64,130.18,37.61,173.54,1.333
2026-09-13 14:53:05,21.55,43.18,121.95,29.84,162.51,1.333
2026-09-13 14:54:05,25.26,58.38,106.71,33.02,145.67,1.365
2026-09-13 14:54:22,21.95,40.38,149.23,31.71,187.44,1.256
2026-09-13 14:54:52,21.45,59.68,102.31,32.24,144.73,1.415
2026-09-13 14:55:53,20.04,51.77,178.61,32.37,217.03,1.215
2026-09-13 14:56:54,25.08,52.71,153.61,40.41,205.22,1.336
2026-09-13 14:57:55,27.46,56.99,165.8,42.35,220.81,1.332
2026-09-13 14:58:56,22.98,42.38,205.51,35.5,248.61,1.21
2026-09-13 14:59:57,24.73,46.35,134.72,34.66,183.28,1.36
2026-09-13 15:00:58,23.52,52.59,214.81,41.43,265.22,1.235
2026-09-13 15:01:59,23.56,50.91,186.76,38.47,238.34,1.276
2026-09-13 15:03:00,20.93,56.55,128.6,28.77,169.47,1.318
2026-09-13 15:04:00,27.72,45.8,208.09,46.81,263.86,1.268
